date,value
Jan-13,2296
Feb-13,2049
Mar-13,2258
Apr-13,2391
May-13,2903
Jun-13,2926
Jul-13,3376
Aug-13,2916
Sep-13,2455
Oct-13,2524
Nov-13,2373
Dec-13,2331
Jan-14,2409
Feb-14,2139
Mar-14,2816
Apr-14,2562
May-14,3034
Jun-14,3305
Jul-14,3543
Aug-14,3260
Sep-14,3369
Oct-14,3384
Nov-14,3136
Dec-14,2803
Jan-15,2887
Feb-15,2933
Mar-15,3546
Apr-15,3414
May-15,3490
Jun-15,3608
Jul-15,3886
Aug-15,3589
Sep-15,3317
Oct-15,3576
Nov-15,3610
Dec-15,3492
Jan-16,3074
Feb-16,3063
Mar-16,3469
Apr-16,3313
May-16,3736
Jun-16,4150
Jul-16,5468
Aug-16,4307
